productId,title,category,matched_keyword,forecast_score
P4334,Spring Leather Parka,parka,spring,3.06
P4329,Spring Beige Sandals,sandals,spring,3.06
P4328,Printed Spring Trench Coat,trench coat,spring,3.06
P4320,Striped Spring Trench Coat,trench coat,spring,3.06
P4319,Slim Fit New Jacket,jacket,spring,3.06
P4315,Spring Oversized T-shirt,t-shirt,spring,3.06
P4311,Beige Solid Sweater,sweater,spring,3.06
P4307,Plus Size Spring Romper,romper,spring,3.06
P4303,Spring Solid Jeans,jeans,spring,3.06
P4299,Unisex Petite Slides,slides,spring,3.06
P4549,Spring Low-rise Crop Top,crop top,spring,3.06
P4294,Spring Linen Coat,coat,spring,3.06
P4288,New White T-shirt,t-shirt,spring,3.06
P4276,Spring Plus Size Windbreaker,windbreaker,spring,3.06
P4251,Minimalist Trendy Coat,coat,spring,3.06
P4476,Women Leather Sneakers,sneakers,spring,3.06
P4470,Mid-rise Navy Flats,flats,spring,3.06
P4464,Organic Fitted Jacket,jacket,spring,3.06
P4461,Cropped Low-rise Coat,coat,spring,3.06
P4460,Spring High-waisted Cardigan,cardigan,spring,3.06
P4455,Spring Slim Fit Bomber Jacket,bomber jacket,spring,3.06
P4444,Slim Fit Spring Romper,romper,spring,3.06
P4436,Plus Size Fitted Heels,heels,spring,3.06
P4434,Fitted Printed Dress,dress,spring,3.06
P4413,Spring Solid T-shirt,t-shirt,spring,3.06
P4411,Spring Mid-rise Skirt,skirt,spring,3.06
P4769,Oversized Men Heels,heels,spring,3.06
P4400,Plaid Spring Jeans,jeans,spring,3.06
P4394,Olive Wool Sweater,sweater,spring,3.06
P4391,Spring New Pants,pants,spring,3.06
P4384,Loose Spring Dress,dress,spring,3.06
P4702,Solid Spring Sneakers,sneakers,spring,3.06
P4676,Black Slim Fit Slides,slides,spring,3.06
P4674,Linen Spring Slides,slides,spring,3.06
P4664,Striped Cotton Heels,heels,spring,3.06
P4657,Solid Men Tank Top,tank top,spring,3.06
P4647,Trendy Minimalist Sweater,sweater,spring,3.06
P4643,Wool Minimalist Boots,boots,spring,3.06
P4627,Slim Fit Linen Bomber Jacket,bomber jacket,spring,3.06
P4599,Spring New Dress,dress,spring,3.06
P4597,Denim Cotton Tank Top,tank top,spring,3.06
P4574,Spring Fall Heels,heels,spring,3.06
P4931,Spring Solid Windbreaker,windbreaker,spring,3.06
P4527,Printed Spring Shorts,shorts,spring,3.06
P4514,Linen Longline Skirt,skirt,spring,3.06
P4502,Floral Striped Sweater,sweater,spring,3.06
P4499,Minimalist Olive Dress,dress,spring,3.06
P4877,Spring Summer Pullover,pullover,spring,3.06
P4874,Mid-rise Spring Sneakers,sneakers,spring,3.06
P4871,Cotton Mid-rise Shirt,shirt,spring,3.06
P4867,Winter Spring Sandals,sandals,spring,3.06
P4850,Spring Navy Leggings,leggings,spring,3.06
P4849,Black Spring T-shirt,t-shirt,spring,3.06
P4845,Spring Striped Blouse,blouse,spring,3.06
P4841,Spring Women Skirt,skirt,spring,3.06
P4815,Unisex Spring Cardigan,cardigan,spring,3.06
P4789,Spring Fitted Cardigan,cardigan,spring,3.06
P4788,Spring Striped Bomber Jacket,bomber jacket,spring,3.06
P5079,Wool Linen Hoodie,hoodie,spring,3.06
P4743,Cotton Spring Jumpsuit,jumpsuit,spring,3.06
P4719,Spring Tall Tank Top,tank top,spring,3.06
P4710,Unisex Spring Trench Coat,trench coat,spring,3.06
P4706,Plus Size Sleeveless Bomber Jacket,bomber jacket,spring,3.06
P5037,Linen Plaid Slides,slides,spring,3.06
P5028,Summer Spring Pullover,pullover,spring,3.06
P5019,Plaid High-waisted Heels,heels,spring,3.06
P5013,Fitted Trendy Hoodie,hoodie,spring,3.06
P5008,High-waisted Organic Bomber Jacket,bomber jacket,spring,3.06
P5001,Tall Wool Shorts,shorts,spring,3.06
P5000,High-waisted Spring Parka,parka,spring,3.06
P4997,Men Oversized Hoodie,hoodie,spring,3.06
P4962,Spring Vintage Sneakers,sneakers,spring,3.06
P4939,Low-rise Spring Shorts,shorts,spring,3.06
P4937,Spring Slim Fit Pants,pants,spring,3.06
P5238,Leather Loose Trench Coat,trench coat,spring,3.06
P4911,Women Slim Fit Crop Top,crop top,spring,3.06
P4909,Leather Trendy Sandals,sandals,spring,3.06
P4904,Fall Plaid Sneakers,sneakers,spring,3.06
P4886,Minimalist Spring Cardigan,cardigan,spring,3.06
P5197,Longline Solid Crop Top,crop top,spring,3.06
P5189,Men Summer Hoodie,hoodie,spring,3.06
P5165,Spring Fall Flats,flats,spring,3.06
P5160,Printed Plus Size Jumpsuit,jumpsuit,spring,3.06
P5151,Organic Spring Flats,flats,spring,3.06
P5143,Solid Spring Loafer,loafer,spring,3.06
P5139,Plus Size High-waisted Jacket,jacket,spring,3.06
P5132,Unisex Winter Heels,heels,spring,3.06
P5128,Fall Cropped Pants,pants,spring,3.06
P5124,Spring Black Leggings,leggings,spring,3.06
P5092,New Petite Loafer,loafer,spring,3.06
P5356,Spring Striped Pullover,pullover,spring,3.06
P5077,Solid Minimalist Sweater,sweater,spring,3.06
P5071,Sleeveless Leather Sandals,sandals,spring,3.06
P5058,Denim New Parka,parka,spring,3.06
P5052,Spring Beige Skirt,skirt,spring,3.06
P5324,Navy Spring Jeans,jeans,spring,3.06
P5318,Black Spring Pants,pants,spring,3.06
P5304,Spring Sleeveless Shirt,shirt,spring,3.06
P5292,Spring Leather Romper,romper,spring,3.06
P5284,Plus Size Low-rise Boots,boots,spring,3.06
P5279,Spring Longline Blouse,blouse,spring,3.06
P5271,Plus Size Minimalist Cardigan,cardigan,spring,3.06
P5256,Low-rise Floral Loafer,loafer,spring,3.06
P5254,Trendy Sleeveless Skirt,skirt,spring,3.06
P5243,Spring Linen Crop Top,crop top,spring,3.06
P5242,Spring Mid-rise Pants,pants,spring,3.06
P5525,Cropped Denim Blouse,blouse,spring,3.06
P5223,Wool Spring Flats,flats,spring,3.06
P5218,Spring Summer Pullover,pullover,spring,3.06
P5213,Trendy Plaid Bomber Jacket,bomber jacket,spring,3.06
P5203,Spring White Shirt,shirt,spring,3.06
P5484,Olive Low-rise Bomber Jacket,bomber jacket,spring,3.06
P5474,Beige Spring Leggings,leggings,spring,3.06
P5464,Organic Summer Hoodie,hoodie,spring,3.06
P5456,Spring Low-rise Leggings,leggings,spring,3.06
P5427,Trendy Minimalist T-shirt,t-shirt,spring,3.06
P5421,Minimalist Unisex Jumpsuit,jumpsuit,spring,3.06
P5411,Linen Fall Jumpsuit,jumpsuit,spring,3.06
P5395,Olive Unisex Cardigan,cardigan,spring,3.06
P5383,Summer Mid-rise Sneakers,sneakers,spring,3.06
P5365,Vintage Unisex Sandals,sandals,spring,3.06
P5359,Spring White Shirt,shirt,spring,3.06
P5709,Cropped Denim Jeans,jeans,spring,3.06
P5345,Plus Size Low-rise Jumpsuit,jumpsuit,spring,3.06
P5343,Black Printed Sneakers,sneakers,spring,3.06
P5341,Printed Leather Heels,heels,spring,3.06
P5329,Spring Unisex Bomber Jacket,bomber jacket,spring,3.06
P5688,Spring Plus Size Tank Top,tank top,spring,3.06
P5662,Spring Vintage Leggings,leggings,spring,3.06
P5661,Navy Navy Dress,dress,spring,3.06
P5656,Men Leather Jacket,jacket,spring,3.06
P5641,Linen Beige Boots,boots,spring,3.06
P5640,Printed Women Boots,boots,spring,3.06
P5626,New Solid Sneakers,sneakers,spring,3.06
P5620,Spring Low-rise Flats,flats,spring,3.06
P5606,Cropped Winter Sandals,sandals,spring,3.06
P5603,Women Minimalist Trench Coat,trench coat,spring,3.06
P5572,Women Linen Sandals,sandals,spring,3.06
P5856,Summer Spring Jeans,jeans,spring,3.06
P5512,Spring Mid-rise Heels,heels,spring,3.06
P5509,Spring Unisex Flats,flats,spring,3.06
P5503,Floral Low-rise T-shirt,t-shirt,spring,3.06
P5491,Loose Spring Pullover,pullover,spring,3.06
P5792,Spring Floral Coat,coat,spring,3.06
P5783,Loose Spring Skirt,skirt,spring,3.06
P5779,Petite Spring Parka,parka,spring,3.06
P5768,Loose New Tank Top,tank top,spring,3.06
P5765,Winter Spring T-shirt,t-shirt,spring,3.06
P5759,Longline Unisex Hoodie,hoodie,spring,3.06
P5749,Plaid Spring T-shirt,t-shirt,spring,3.06
P5746,Fitted Petite Leggings,leggings,spring,3.06
P5741,Spring White Pants,pants,spring,3.06
P5738,Fitted Spring Sneakers,sneakers,spring,3.06
P5721,Mid-rise Spring Crop Top,crop top,spring,3.06
P6040,Solid Denim Heels,heels,spring,3.06
P5703,Spring Sleeveless Sweater,sweater,spring,3.06
P5696,Cotton Loose Boots,boots,spring,3.06
P5694,Organic Tall Slides,slides,spring,3.06
P5690,Longline New Cardigan,cardigan,spring,3.06
P5977,Linen Spring Skirt,skirt,spring,3.06
P5976,White Spring Skirt,skirt,spring,3.06
P5959,Spring Striped Sneakers,sneakers,spring,3.06
P5946,Denim Organic Loafer,loafer,spring,3.06
P5942,Slim Fit Plaid T-shirt,t-shirt,spring,3.06
P5917,Spring Loose Parka,parka,spring,3.06
P5912,Floral Spring Trench Coat,trench coat,spring,3.06
P5900,Spring Tall Parka,parka,spring,3.06
P5884,Spring Fall Cardigan,cardigan,spring,3.06
P5881,Spring White Hoodie,hoodie,spring,3.06
P5878,Sleeveless Men Dress,dress,spring,3.06
P6207,Loose Minimalist Sneakers,sneakers,spring,3.06
P5848,Black Spring Jeans,jeans,spring,3.06
P5846,Loose Solid Romper,romper,spring,3.06
P5825,Black Loose Hoodie,hoodie,spring,3.06
